Time (s),CO (ppm),Humidity (%r.h.),Temperature (C),Flow rate (mL/min),Heater voltage (V),R1 (MOhm),R2 (MOhm),R3 (MOhm),R4 (MOhm),R5 (MOhm),R6 (MOhm),R7 (MOhm),R8 (MOhm),R9 (MOhm),R10 (MOhm),R11 (MOhm),R12 (MOhm),R13 (MOhm),R14 (MOhm)
76472.2382,0.0,205.0,105.52,959.8209,1.3796,2.2356,-0.9599,7.6529,66.9214,122.1617,93.1358,114.8852,146.1633,111.4314,144.8784,153.1597,127.1979,124.4423,161.5984
76492.0143,0.0,205.0,105.52,959.9037,3.1529,14.3126,21.7071,28.9915,14.4956,33.7642,36.2826,37.1398,31.6303,19.3016,32.8454,34.0145,41.2062,30.5103,36.1625
76511.7966,0.0,205.0,105.52,960.1332,0.9524,202.3957,239.9786,265.746,116.5881,242.836,244.6421,247.6042,234.7149,189.0531,252.2293,253.9229,218.3203,217.7117,259.2494
76531.5696,0.0,205.0,105.52,959.9058,0.7913,61.2185,55.8543,121.6351,109.0682,203.6972,200.5523,207.3943,219.2875,184.7502,231.208,238.3418,199.2362,198.011,253.4999
76551.3307,0.0,205.0,105.52,959.8799,0.7205,6.3756,4.4739,18.6335,93.8675,179.8949,134.4848,166.786,198.1934,160.4932,211.8291,228.8381,191.7754,183.3325,240.1119
76571.0848,0.0,205.0,105.52,959.8256,1.1855,2.8026,1.5959,0.9263,49.7946,83.4072,44.5124,69.6399,142.886,110.2489,149.6031,166.2236,133.8723,129.4268,167.6186
76590.8671,0.0,205.0,105.52,959.518,3.2117,0.3775,5.4455,13.4238,7.1951,15.3976,16.4754,20.5215,20.2196,11.5823,22.7152,23.7487,29.5137,22.3442,25.3352
76610.6326,0.0,205.0,105.52,960.4014,0.9686,204.4629,242.8044,266.69,113.7758,232.3433,238.1885,247.3837,230.5077,185.551,247.7598,247.479,222.0433,219.7922,258.9974
76630.3999,0.0,205.0,105.52,959.8187,0.764,66.6982,62.0655,129.3936,111.5172,208.9192,205.9145,214.4701,233.1134,192.4097,239.0104,250.4141,209.0683,206.4261,263.0441
76650.2044,0.0,205.0,105.52,959.4683,1.0202,8.9762,5.7873,18.4778,80.1804,151.3102,119.4322,142.2624,167.923,137.8224,179.5179,192.1968,159.9217,154.3221,201.5391
76670.2385,0.0,205.0,105.52,959.6169,3.2139,-3.6434,0.7221,6.2356,7.2014,16.5623,15.71,20.3359,24.0547,10.4183,19.5794,21.7455,27.7926,20.8387,24.5928
76690.356,0.0,205.0,105.52,960.1196,1.0138,198.6126,243.6679,261.6572,112.2025,234.2413,239.867,247.9021,220.9926,184.4742,247.3589,253.237,222.5896,218.1746,256.9807
76710.2076,0.0,205.0,105.52,959.9493,0.7864,68.8354,64.6995,132.2534,108.8873,206.257,203.3233,210.2249,229.9544,190.7814,238.2808,245.8728,204.8909,204.557,260.383
76729.9894,0.0,205.0,105.52,959.647,0.7668,6.8554,4.5633,20.6746,93.8989,181.3492,139.7306,169.47,203.8135,163.2209,214.5006,230.0883,192.7832,184.8092,243.2702
76749.7766,0.0,204.9993,105.52,959.7371,0.9809,7.3459,6.8668,6.5768,55.8848,96.5982,54.2621,81.8697,165.2646,126.7957,171.2402,186.4326,150.723,146.4427,188.8979
76769.5564,0.0,204.9863,105.52,959.9041,3.3427,-13.5348,-12.0101,-4.2027,1.1192,1.8145,1.4404,4.8392,9.9653,4.043,11.1867,12.1236,18.5296,12.8844,15.5886
76789.33,0.0,205.0872,105.52,959.6775,1.0583,204.5723,243.1354,259.7286,110.2146,232.5014,237.3062,242.6805,227.3234,182.6601,247.113,252.7747,222.1792,217.2351,255.1165
76809.1031,0.0,204.7136,105.52,960.1732,0.8021,75.1708,71.0818,139.2441,109.1087,205.2461,206.7698,213.6301,236.6555,193.9078,242.6418,250.2398,208.6211,207.5643,265.9109
76828.8789,0.0,206.4426,105.52,960.2888,0.845,15.8557,12.9022,27.8274,86.9774,166.9828,135.3949,159.3913,192.1821,153.6231,201.163,213.2458,177.236,172.3329,226.6492
76848.6431,0.0,207.04,105.52,959.976,3.2807,-21.5234,-20.6971,-14.6979,0.57,-1.3571,-2.7178,1.2933,6.064,2.0486,8.7238,7.8,13.0175,8.7172,11.6748
76868.4019,0.0,207.04,105.52,959.4147,1.0815,202.2768,241.2656,257.7315,106.0787,232.2977,233.6741,242.4989,221.8237,179.0762,238.4628,247.993,219.5872,213.1771,251.6214
76888.1735,0.0,207.04,105.52,959.6278,0.7853,83.062,79.918,149.2568,109.7668,205.8026,207.9515,212.7358,237.7201,196.407,244.8443,253.28,209.174,210.0472,268.3066
76907.9289,0.0,207.04,105.52,959.6996,0.8362,7.9952,4.9929,24.3863,93.7544,181.2788,146.3095,173.6963,203.615,164.722,213.0535,228.897,190.7647,184.9306,244.9476
76927.7037,0.0,207.04,105.52,959.6097,0.6895,13.093,13.297,14.7505,65.9165,117.3812,70.366,101.8425,185.5862,146.3818,198.232,219.0095,177.7893,171.1521,223.7584
76947.469,0.0,207.04,105.52,960.3765,3.3232,-30.4171,-32.1735,-27.0777,-5.9948,-16.1306,-19.8254,-15.9577,-0.9648,-2.7999,0.5804,2.7335,4.9672,2.0712,4.4934
76967.2222,0.0,207.04,105.52,959.894,1.1474,197.5883,237.2861,250.4202,103.0244,225.3012,230.0337,237.1737,215.2559,171.5914,232.4209,237.1993,216.2026,209.3829,243.9787
76986.991,0.0,207.04,105.52,958.9449,0.8682,89.4055,88.3292,156.532,108.5584,205.1786,207.5744,211.9081,233.7948,196.4553,245.9213,248.8025,209.0864,208.8929,268.3172
77006.7609,0.0,207.04,105.52,959.4153,0.552,22.4714,20.085,40.5411,99.3235,189.0221,158.2137,177.7684,217.081,178.0172,231.0459,241.8497,198.7931,187.562,247.3354
77026.5459,0.0,207.04,105.52,959.8244,3.3362,-34.8987,-39.2096,-34.082,-3.0721,-10.7563,-15.3312,-15.2588,-0.3345,-1.6161,-1.6937,4.2165,1.2366,-1.3951,-1.7981
77046.3403,0.0,207.04,105.52,960.0585,1.2566,191.3556,234.1155,246.1882,101.6937,222.7241,221.6643,232.5756,212.013,167.6647,233.5716,226.0753,212.1922,200.1428,241.2034
77066.0118,0.0,207.04,105.52,959.1764,0.7846,98.9438,100.3882,164.629,109.6652,204.9559,210.1349,217.4522,226.0611,200.4068,247.7398,249.221,215.1696,215.9764,274.4883
77085.5337,0.0,207.04,105.52,959.8808,0.9047,10.4436,6.2971,30.2122,95.0791,181.3435,154.575,179.077,186.5342,167.1652,215.1109,223.8869,191.6386,185.2892,244.1163
77105.0371,0.0,207.04,105.52,959.9043,0.4011,16.3123,18.1892,22.1817,76.4166,137.7493,87.8345,123.2934,198.6906,168.2973,227.6043,243.2199,204.5171,195.5647,253.3234
77124.5389,0.0,207.04,105.52,959.4961,3.3841,-41.8606,-48.6155,-46.7086,-10.0254,-29.0802,-36.9059,-33.3907,-2.0092,-5.3068,-7.2528,-3.6542,-6.8894,-6.1652,-4.9112
77144.0629,0.0,207.04,105.52,959.9743,1.47,175.0378,214.1636,222.4607,91.3761,199.1148,206.897,215.7264,177.9149,149.7865,209.0958,205.6083,200.1064,187.6215,219.4471
77163.5767,0.0,207.04,105.52,959.8108,0.9444,118.4229,123.6843,187.5716,107.7233,201.6072,209.7001,216.0399,218.4829,193.2016,242.1603,242.168,206.805,211.8031,265.1054
77183.0939,0.0,207.04,105.52,959.7556,0.269,27.4151,25.0706,56.4543,112.1882,213.6781,186.4093,211.4656,229.9566,202.1711,263.4692,274.2095,233.8442,225.3238,292.5545
77202.5968,0.0,207.04,105.52,959.9548,3.1736,-38.9663,-48.1128,-46.4989,0.6235,-6.2606,-18.0893,-12.1114,6.7826,7.7519,7.0274,10.954,4.541,5.6098,8.5465
77222.1031,0.0,207.04,105.52,959.6449,1.6325,150.5627,189.381,194.9759,80.5476,177.3938,182.4097,191.1346,157.8028,129.7418,185.5346,185.3163,180.0225,167.9233,194.139
77241.6105,0.0,207.04,105.52,959.5292,0.7855,137.2522,148.6129,207.2702,111.8556,210.1965,217.8233,227.1773,232.5504,207.3834,260.607,256.6821,220.7477,225.0856,281.1884
77261.1562,0.0,207.04,105.52,959.906,0.9382,19.6368,13.325,48.4951,97.6308,184.184,168.1828,187.0809,191.3657,169.8284,217.4419,221.584,189.2678,185.9469,246.4306
77280.6725,0.0,207.04,105.52,959.9248,0.2564,11.2417,13.1011,19.8641,85.9153,155.9245,102.2503,141.5329,209.3988,183.8303,247.2653,264.5661,221.7479,213.6959,279.9941
77300.171,0.0,207.04,105.52,959.6531,2.8537,-31.8774,-39.9965,-42.0886,1.3941,-7.7771,-24.9535,-17.1163,25.0158,22.5333,27.8854,34.7187,23.9368,23.1232,29.7081
77319.6858,0.0,207.04,105.52,960.0228,1.9555,117.2471,149.3519,157.5741,63.9619,138.1294,147.6419,155.4443,125.6166,103.194,150.1125,150.8191,142.0727,137.5228,158.0202
77339.2126,0.0,207.04,105.52,960.4958,0.8999,156.5887,175.8046,229.8737,110.7787,213.0266,224.7539,229.8718,226.8887,200.3593,253.8209,251.8179,216.8957,220.3704,270.3902
77358.7329,0.0,207.04,105.52,959.4883,0.3566,30.9368,25.6817,70.6143,114.9528,215.3949,196.5798,218.6373,238.0068,208.2673,267.5989,275.2373,237.3141,230.1717,301.6743
77378.2572,0.0,207.04,105.52,959.8424,2.4145,-22.371,-30.3047,-29.5462,22.7166,36.4893,16.663,27.754,60.2587,55.6168,62.845,60.0466,44.5522,45.5018,64.644
77397.7743,0.0,207.04,105.52,959.115,2.3376,89.3006,117.4246,125.3445,50.1781,113.27,119.3246,126.0223,97.6459,79.6587,119.9104,119.7049,122.5905,108.3879,126.5092
77417.2801,0.0,207.04,105.52,960.2055,0.8073,172.3457,198.0169,244.8586,114.9051,224.0667,230.7816,241.4306,234.6616,209.3299,271.8333,266.9605,227.1117,233.6603,284.2787
77436.7988,0.0,207.04,105.52,960.1158,0.8494,33.8669,26.2799,74.8247,100.2905,188.6784,183.2116,196.7345,206.8796,182.1987,227.2492,229.5589,197.6366,193.5355,254.1547
77456.3119,0.0,207.04,105.52,960.0896,0.501,5.8582,5.7484,14.0985,87.4276,163.0138,111.2197,149.169,202.5306,176.3712,235.6191,254.2904,215.5862,205.9442,272.7836
77475.8207,0.0,207.04,105.52,959.8725,1.9201,-13.3468,-18.2224,-19.2604,22.4582,30.4188,5.2016,20.8165,86.7403,75.9237,96.3653,96.3175,73.8452,73.618,100.2538
77495.323,0.0,207.0394,105.52,959.7789,2.696,54.8411,74.601,78.8337,32.1373,73.6431,79.5684,80.6258,67.3735,51.6195,80.2156,81.2221,86.5975,73.7147,85.2191
77514.8479,0.0,207.0273,105.52,959.5291,0.8635,188.2905,221.6117,254.5785,113.0793,227.7217,235.5831,238.9179,231.689,203.6844,265.6129,261.8875,230.9522,231.1247,277.9737
77534.3535,0.0,207.1365,105.52,960.2247,0.5961,43.2001,35.6463,91.6695,110.2558,205.9579,198.0596,213.6782,229.4499,202.822,255.2336,262.6856,224.5111,220.7834,288.3632
77553.8666,0.0,206.68,105.52,959.8181,1.6141,-3.1301,-6.828,-2.1198,54.4805,100.4658,72.4171,91.7863,118.1963,104.4264,135.9172,141.8406,115.814,113.7007,153.4636
77573.3745,0.0,208.7975,105.52,959.7915,3.0311,28.5815,40.1545,48.6667,20.5818,47.4425,51.31,56.4227,43.4903,31.8921,51.3271,53.5798,60.2617,50.9748,58.8767
77592.8795,0.0,207.7255,105.52,959.2928,0.9091,196.3963,231.8824,261.6942,113.7529,234.1571,239.538,251.3383,227.4639,199.8622,265.6135,263.5365,233.3415,230.9658,280.6345
77612.3973,0.0,206.7398,105.52,959.405,0.7906,53.4948,46.3058,107.1552,104.7037,192.4264,193.2814,204.2985,217.0264,193.0993,241.8624,244.1957,204.3105,204.9554,267.111
77631.9225,0.0,208.3966,105.52,959.4371,0.7226,5.6324,3.9353,15.563,89.1272,168.2386,124.5054,158.1559,196.11,171.4846,225.1551,237.0397,200.5338,192.3074,256.0163
77651.4314,0.0,209.08,105.52,959.9156,1.1707,3.0578,1.7474,1.13,46.0638,75.5795,39.7739,63.6071,136.3258,120.4981,160.8579,173.0339,140.6375,136.7234,182.5902
77670.9386,0.0,209.08,105.52,959.7563,3.2738,-1.1362,4.3523,11.6687,6.2975,15.1951,16.1114,19.45,17.7408,12.1451,23.0514,24.4187,31.1366,23.4122,27.426
77690.4416,0.0,209.08,105.52,960.4213,0.9924,199.8091,241.7025,263.6171,110.9134,230.9642,239.582,246.2865,222.6999,192.1879,258.2578,256.9456,232.0558,226.4365,271.524
77709.985,0.0,209.08,105.52,959.5203,0.8012,66.2652,60.5091,124.3908,106.5935,197.6319,198.4465,209.1606,226.1854,197.072,247.666,246.1358,211.3805,213.7513,275.7788
77729.4936,0.0,209.08,105.52,959.7862,0.8481,13.2556,10.4952,22.345,83.7352,154.964,121.4273,144.0317,178.497,156.7549,199.4469,215.9336,170.6781,164.874,217.2658
77749.0495,0.0,209.08,105.52,959.7167,3.2822,-16.612,-15.0858,-8.6484,2.5287,3.8769,2.5619,5.6143,10.6855,6.6566,11.5986,14.3498,17.9202,10.3297,14.5747
77768.8586,0.0,209.08,105.52,959.9175,1.0799,200.557,241.2485,256.6183,107.5601,225.5152,232.2703,239.2842,214.7174,182.811,250.7731,248.732,228.916,218.9404,260.8833
77788.3931,0.0,209.08,105.52,959.8997,0.7867,78.0192,73.828,139.8798,105.8537,196.1037,199.625,209.6981,223.762,199.3897,246.6271,247.7363,212.8311,213.6508,272.9531
77807.9079,0.0,209.08,105.52,960.039,0.846,7.2662,4.2904,21.5585,91.4208,173.9577,139.1307,167.0745,189.2073,167.0191,216.623,228.8392,194.9796,187.9956,249.6997
77827.4338,0.0,209.08,105.52,960.4022,0.628,14.2755,15.1592,16.436,63.7519,111.3395,68.1939,98.4958,185.2948,156.6308,209.4808,220.4762,183.9991,177.3952,234.5597
77846.9529,0.0,209.08,105.52,959.9917,3.4025,-34.3622,-38.0771,-33.2815,-8.0038,-21.119,-25.6267,-23.123,-0.3278,-4.7818,-4.9919,-2.2905,0.3234,-2.9835,-1.409
77866.471,0.0,209.08,105.52,959.7696,1.2397,190.865,234.2817,242.7375,100.1538,214.1096,225.6806,233.8484,200.9139,169.5549,234.9505,231.5873,213.0031,208.4765,246.5867
77885.9898,0.0,209.08,105.52,960.0483,0.902,94.1144,93.5522,157.5792,106.4198,197.0181,203.1305,210.6295,223.5463,196.4013,245.168,246.7241,208.742,212.9015,270.4892
77905.5019,0.0,209.08,105.52,959.9555,0.4218,24.3281,22.8445,44.5219,101.7539,194.7858,164.654,191.2575,211.7129,190.9534,247.806,257.5603,219.8641,210.9087,274.8628
77925.0154,0.0,209.08,105.52,960.2546,3.335,-40.0371,-47.5703,-44.1586,-4.9272,-16.5449,-25.433,-19.9322,-3.788,-2.3696,-4.0829,-1.0707,-2.397,-0.768,-0.8483
77944.5166,0.0,209.08,105.52,959.9881,1.3942,175.4531,218.885,226.5006,92.5892,202.8185,212.4388,218.4487,183.3087,154.2674,214.2492,216.4505,205.563,188.4922,225.0876
77964.0274,0.0,209.08,105.52,959.6382,0.782,112.6682,116.0863,180.0651,108.9262,201.1976,210.5819,218.4422,229.4583,205.4063,258.0549,254.4278,217.2019,221.5413,279.0755
77983.5515,0.0,209.08,105.52,959.8728,0.944,13.0931,8.0263,34.1883,93.491,177.729,154.4099,176.4483,192.9701,168.7108,216.9708,224.0013,189.2004,184.5746,244.8941
78003.067,0.0,209.08,105.52,959.8283,0.2669,14.309,16.9038,22.0457,78.2131,139.927,90.0776,126.2066,208.3598,182.0174,245.0227,260.1343,220.4023,210.2558,277.5478
78022.5657,0.0,209.08,105.52,959.5552,3.1793,-38.6608,-48.1505,-48.854,-7.5387,-25.4559,-37.1902,-31.2055,4.4226,4.5999,3.8165,7.2241,1.5733,4.2381,11.3484
78042.0696,0.0,209.08,105.52,959.8131,1.6616,147.1943,187.6335,196.2008,79.2914,174.2327,183.935,188.0104,157.0229,129.6554,186.7922,189.4893,181.3056,163.8202,190.2381
78061.5856,0.0,209.08,105.52,959.7644,0.9387,132.7692,142.672,201.2868,106.9975,201.648,210.186,216.6569,222.9598,196.6823,247.5138,245.5444,208.6611,215.1278,267.3507
78081.1127,0.0,209.08,105.52,960.1143,0.256,27.2243,23.8247,58.8229,112.1507,210.8931,186.2479,211.7653,236.9181,210.5817,273.0452,279.257,239.5413,231.4264,305.619
78100.6237,0.0,209.08,105.52,960.0488,2.8571,-32.2152,-41.4629,-41.7945,8.2137,6.7435,-9.9759,-2.1799,28.7202,27.6807,32.3429,26.1764,14.5985,16.8342,28.5147
78120.1243,0.0,209.08,105.52,960.236,1.963,122.0154,156.9574,166.5715,66.5888,145.6369,157.4876,164.5756,130.2942,107.9817,160.277,158.2031,158.7323,142.4636,166.7944
78139.6418,0.0,209.08,105.5199,959.8108,0.7912,151.0938,167.374,221.0825,111.7354,215.9267,223.1324,229.1655,236.5627,207.2637,266.5149,263.0728,225.5977,228.0689,286.1622
78159.1759,0.0,209.0815,105.5208,959.754,0.8983,24.131,17.0409,55.3221,97.8865,182.4148,169.2111,186.8303,199.8157,177.0365,223.759,226.5268,190.8648,189.214,251.0029
78178.7046,0.0,209.0695,105.5181,959.794,0.3584,8.0104,9.387,16.2163,83.1635,151.2399,98.9855,137.3663,211.0308,184.8091,245.8221,261.8987,221.9798,213.4467,282.9272
78198.2106,0.0,209.1143,105.5259,960.0204,2.4065,-23.0281,-31.0233,-32.8206,8.6539,3.8291,-15.2075,-6.0858,50.2698,47.6281,61.2988,57.7533,39.6698,41.1112,59.0967
78217.7088,0.0,208.9613,105.3737,959.8619,2.331,86.8586,117.0422,123.2611,48.6718,109.1793,118.1257,124.3581,98.3889,80.6844,120.7596,117.6501,122.5105,107.8521,124.6808
78237.216,0.0,210.9458,105.4973,960.0196,0.8789,168.6349,193.8853,238.3159,111.3698,219.1269,226.464,230.8036,229.4897,200.9029,261.5389,259.7659,224.5305,225.5074,271.5747
78256.7318,0.0,209.3943,105.52,959.7107,0.4515,33.255,26.3806,73.4778,110.1419,206.4681,190.3315,210.9395,234.3619,208.4656,267.0981,269.9354,233.0788,227.1561,298.1201
78276.2487,0.0,209.0797,105.52,960.2437,2.1015,-13.1844,-18.5278,-17.4549,35.3628,63.4629,38.9937,54.6365,83.4118,75.1591,90.2303,98.9628,79.0241,78.465,107.4999
78295.7514,0.0,209.0673,105.52,959.9993,2.7109,59.7661,78.6076,88.5452,35.1311,81.1805,86.8901,92.3875,70.4374,55.5856,88.299,87.8703,93.8259,79.9811,94.2168
78315.2535,0.0,209.1527,105.52,960.0859,0.8426,182.0157,211.0908,252.2535,114.0584,227.9403,234.6881,243.3666,232.5335,206.9477,273.08,268.6221,234.1254,235.757,286.8868
78334.78,0.0,208.8394,105.52,959.8915,0.8224,40.0378,32.1902,83.8405,101.1925,189.416,184.8347,197.2788,211.5379,186.8475,235.9717,239.4448,203.9004,201.5292,264.5252
78354.2916,0.0,210.642,105.52,959.284,0.5963,5.0665,4.0611,12.5105,84.6088,158.0329,109.3567,145.6007,199.64,176.1096,233.0293,243.8318,209.0547,200.3064,267.4602
78373.8065,0.0,211.12,105.52,959.7786,1.6118,-5.6302,-8.0685,-9.1231,31.2964,47.6317,18.7383,36.571,108.7946,94.5325,122.0149,134.0328,108.3988,105.9448,143.0552
78393.3312,0.0,211.12,105.52,960.3701,3.037,27.8233,39.2809,45.3883,18.9731,43.7928,48.6753,52.2646,42.046,30.9462,49.7496,50.9442,59.363,48.6908,57.8186
78412.8491,0.0,211.12,105.52,960.2498,0.8938,193.9539,228.9642,258.765,111.6889,227.8974,235.6684,244.9074,227.9351,199.6528,268.2559,262.5345,233.8327,230.3766,275.8195
78432.3591,0.0,211.12,105.52,959.8693,0.7158,50.3657,42.5746,100.2756,106.6256,197.7797,194.3155,206.3631,226.7052,199.4252,251.2861,254.4354,220.1857,217.9866,281.8961
78451.8959,0.0,211.12,105.52,959.3239,1.2162,4.7587,1.4666,8.2215,66.3139,122.071,88.4657,109.0005,152.8132,132.4913,170.5125,176.5964,138.6323,134.2022,179.0002
78471.4254,0.0,211.12,105.52,959.8121,3.1213,3.9385,11.9436,18.7405,10.2213,24.1965,24.7965,27.9682,21.9786,16.9812,29.2308,31.229,36.3483,27.5578,32.8149
78490.9399,0.0,211.12,105.52,960.31,0.955,194.2507,240.4601,261.5458,110.4861,229.8044,237.3483,246.6863,222.9078,195.2799,263.3945,259.064,232.8475,228.1051,273.0431
78510.4404,0.0,211.12,105.52,959.7455,0.7847,61.984,55.6756,116.8958,104.4067,194.1496,196.1543,205.3582,220.118,196.5444,247.0863,247.1579,210.9775,209.6133,272.522
78529.9541,0.0,211.12,105.52,960.2493,0.8014,5.763,3.705,16.4009,87.4389,165.0075,125.15,157.2934,191.681,170.0511,222.3681,232.8474,199.3574,190.8029,257.3062
78549.4689,0.0,211.12,105.52,959.8713,0.8483,9.325,9.0996,9.2207,53.0982,88.5976,49.4676,74.0204,163.5783,142.2781,190.1173,201.4861,160.2353,153.6033,204.2896
78568.9835,0.0,211.12,105.52,960.2975,3.2845,-20.0245,-19.6088,-13.9656,-1.8939,-5.8526,-7.1714,-4.676,5.9225,2.415,7.1887,10.0991,11.4849,6.8285,8.097
78588.4837,0.0,211.12,105.52,959.7328,1.0656,196.603,237.8559,256.3085,105.7226,223.9691,230.1133,239.3128,211.3638,182.5769,249.3843,250.9073,228.3544,219.4294,262.9615
78607.9862,0.0,211.12,105.52,959.6372,0.8429,76.1166,71.8891,136.6875,105.3407,195.4475,199.5105,207.8552,220.3649,198.1591,251.121,250.0727,212.943,213.1895,265.5689
78627.4959,0.0,211.12,105.52,959.3946,0.6395,19.2817,17.9761,31.4333,90.1266,170.9049,138.3437,164.0557,199.2099,172.3058,224.7735,234.6474,197.8474,189.6376,249.7438
78646.9628,0.0,211.12,105.52,959.4198,3.4114,-31.0835,-35.7098,-28.3261,-3.5438,-10.3869,-15.5185,-11.0867,-0.0228,-1.3351,-0.997,0.5529,3.0289,2.4865,5.8831
78666.9251,0.0,211.12,105.52,959.871,1.2559,193.1813,241.4057,243.5288,99.5085,213.0572,222.4286,232.3491,212.4386,172.3384,236.7834,234.6424,217.6576,207.6486,245.1811
78686.7583,0.0,211.12,105.52,960.5175,0.7858,87.8462,84.9943,148.0696,105.9283,200.1567,203.7826,210.2659,240.6641,199.8323,254.176,258.7548,214.7038,213.9817,273.614
78706.5258,0.0,211.12,105.52,960.015,0.8688,8.0222,4.5704,22.6186,89.5067,173.5953,137.3425,164.2574,204.8423,170.7333,220.5959,233.5255,193.2424,186.2059,249.1592
78726.3063,0.0,211.12,105.52,959.3009,0.5488,15.1175,16.598,18.0887,64.3878,112.6638,68.2533,98.3525,201.6488,162.7781,218.6701,237.6894,194.1435,184.9863,244.9585
78746.0883,0.0,211.12,105.52,960.3819,3.3352,-37.17,-42.4822,-37.755,-9.0328,-23.0463,-27.5452,-25.0136,-3.5748,-3.542,-5.1599,-0.0303,-1.2406,-1.047,0.5979
78765.8863,0.0,211.12,105.52,959.9999,1.2444,187.133,230.9276,234.9832,96.5244,204.0227,211.9775,219.9824,207.207,160.7631,229.7283,229.7286,216.1525,195.4115,233.0971
78785.5166,0.0,211.12,105.52,959.5151,0.9077,95.6025,94.6632,157.0297,103.3165,191.5978,201.0015,207.8398,222.4745,196.6399,245.7908,243.9008,210.707,212.646,270.094
78805.0547,0.0,211.12,105.52,959.5471,0.3943,23.9756,22.5669,43.6025,100.0624,191.0386,159.6714,187.1709,220.7492,193.2133,247.9807,260.0761,222.4725,212.878,283.3822
78824.5707,0.0,211.12,105.52,960.2698,3.3739,-39.722,-47.9179,-46.1225,-5.6372,-18.2559,-27.241,-22.8937,-0.3218,-2.0062,-5.854,-3.683,-4.233,-3.7109,0.4377
78844.0844,0.0,211.12,105.52,960.0,1.4871,168.6423,211.9473,222.7932,89.4788,196.79,204.962,214.2861,177.851,150.6676,214.2839,214.5318,201.0824,188.4914,222.6168
78863.6138,0.0,211.12,105.52,959.3504,0.7829,113.1131,116.0651,178.7138,107.1773,200.6037,209.7092,217.0999,229.9621,203.7687,259.0387,255.7583,218.7884,223.9927,284.3182
78883.1476,0.0,211.12,105.52,959.8016,0.9433,12.885,7.8414,32.6131,91.8379,175.2152,151.1037,173.7648,190.3048,170.5618,219.35,224.8303,192.1533,186.2518,246.3564
78902.6901,0.0,211.12,105.52,960.1818,0.2634,13.9388,16.26,20.9138,74.4458,132.2742,84.28,119.2118,210.0741,182.0181,245.6532,260.9586,221.3904,207.4864,279.4412
78922.2314,0.0,211.12,105.52,959.9264,3.1901,-38.4258,-47.1309,-47.2876,-7.4086,-24.824,-35.004,-31.6983,5.9401,5.056,3.705,9.3278,3.3395,2.9732,10.0415
78941.7528,0.0,211.12,105.52,959.3617,1.7705,144.5868,181.6934,187.3119,74.9813,164.7135,171.0761,181.1742,156.1601,126.9104,183.8751,180.0783,171.3361,162.4078,193.0548
78961.2801,0.0,211.12,105.52,959.4224,0.9389,132.7409,141.9018,198.5037,105.6603,201.9042,210.1342,217.0444,221.1534,196.7131,251.8804,249.9997,212.6062,215.8476,270.3096
78980.7989,0.0,211.12,105.52,960.4828,0.2568,26.1661,22.5787,55.0985,108.7468,207.0348,180.8448,205.9238,238.9588,208.8874,271.9454,280.7932,241.6195,230.9409,304.7029
79000.316,0.0,211.12,105.52,960.3886,2.8548,-30.8455,-39.6012,-39.2744,10.4532,12.5109,-6.2632,-0.2899,30.4452,29.2882,33.4753,38.39,25.6283,20.0935,30.3793
79019.8195,0.0,211.12,105.52,959.4813,1.9651,116.5995,149.5355,155.966,62.2462,141.3258,151.8151,157.556,127.6036,103.6369,153.5847,152.3927,155.5355,137.9,163.4403
79039.3205,0.0,211.12,105.52,959.5856,0.7915,149.4204,164.5034,217.633,109.9514,214.6141,221.2483,230.2974,234.0137,206.6579,270.1293,264.5607,231.163,229.9776,287.5124
79058.8324,0.0,211.12,105.52,959.456,0.8984,23.7142,16.6612,53.1037,95.2771,182.136,167.6072,185.0052,198.5152,177.001,223.9772,226.5323,195.6419,189.2732,251.0654
79078.3478,0.0,211.12,105.52,959.7758,0.359,7.3419,8.4146,14.8158,79.478,143.3589,92.926,130.0574,210.2394,180.6785,245.2183,260.92,221.7863,212.207,283.6689
79097.8631,0.0001,211.12,105.52,960.0129,2.4043,-21.6442,-28.3651,-30.3631,9.9898,6.5196,-12.772,-4.0591,55.7797,50.5547,65.7886,70.9457,52.6096,46.2506,63.4729
79117.3644,-0.0277,211.12,105.52,960.2133,2.3317,82.1375,108.1351,114.5909,45.6523,103.0601,111.0064,115.2612,92.8222,74.2994,110.489,115.1365,118.5702,99.6131,119.8516
79136.8676,-0.3973,211.12,105.52,960.1555,0.8772,169.0804,191.2615,236.2802,109.0295,215.2291,223.6973,230.3584,229.7732,202.9,263.3602,257.0351,224.2792,223.781,275.7454
79156.392,2.7656,211.12,105.52,959.7117,0.4538,32.4059,25.3489,70.0165,108.0134,200.7691,185.4388,206.2765,231.6179,204.7201,262.0993,268.4538,231.0515,225.4086,298.429
79175.906,-9.297,211.12,105.52,960.1543,2.0916,-11.8885,-17.401,-15.4437,36.3761,63.3343,38.3142,54.3482,95.6369,79.487,100.7617,101.4221,80.955,80.0958,110.4747
79195.4045,39.6629,211.1206,105.52,959.8014,2.7106,55.5066,75.1187,80.8025,32.5204,74.9815,80.8752,84.6155,68.1868,52.7229,81.7441,82.3893,88.2888,75.7234,90.5794
79214.9253,62.2362,211.1341,105.52,959.0149,0.8426,181.7592,211.1887,248.1439,112.3253,223.988,232.4042,240.4527,231.8829,204.7472,271.6632,266.5725,236.7629,234.2816,287.4568
